Гори                :::s9620342            
Марабда             :::s9879284            
Аджамети            :::s2800417            
Дидубе              :::s9620201            
Авчала              :::s9620202            
Колхида             :::s9620208            
Чаладиди            :::s9620209            
Квалони             :::s9620210            
Чаква               :::s9620212            
Очхамури            :::s9620213            
Натанеби            :::s9620214            
Зестафони           :::s9620215            
Мериа               :::s9620216            
Нигвзиани           :::s9620217            
Нигоити             :::s9620218            
Хевис-Цхали         :::s9620219            
Саджевахо           :::s9620221            
Кобулети            :::s9620225            
Арсаул              :::s9620229            
Чиатура             :::s9620230            
Келасури            :::s9620232            
Агудзера            :::s9620233            
Дранда              :::s9620234            
Адзюбжа             :::s9620235            
Тамыш               :::s9620236            
Акармара            :::s9620237            
Акуаскиа            :::s9620238            
Ачигвари            :::s9620239            
Салхино             :::s9620240            
Джвари              :::s9620241            
Самтредиа           :::s9620242            
Хета                :::s9620243            
Хоби                :::s9620245            
Агур-Кархана        :::s9620246            
Абаша               :::s9620247            
Колобани            :::s9620248            
Ианети              :::s9620249            
Копитнари           :::s9620250            
Мухиани             :::s9620251            
Броцеула            :::s9620252            
Тернали             :::s9620253            
Самтредиа 1         :::s9620254            
Риони               :::s9620255            
Ткибули             :::s9620256            
Сацире              :::s9620257            
Хресили             :::s9620258            
Орпири              :::s9620259            
Гелати              :::s9620260            
Свири               :::s9620261            
Сачхере             :::s9620262            
Супса               :::s9620263            
Дарквети            :::s9620264            
Салиети             :::s9620265            
Беглеви             :::s9620266            
Шоропани            :::s9620267            
Дзирула             :::s9620268            
Харагоули           :::s9620269            
Марелиси            :::s9620270            
Молити              :::s9620271            
Ципа                :::s9620272            
Ткварчели           :::s9620273            
Лихи                :::s9620274            
Сурами              :::s9620275            
Двири               :::s9620276            
Лареби              :::s9620277            
Боржоми гр          :::s9620278            
Бакуриани           :::s9620279            
Сакочави            :::s9620280            
Либани              :::s9620281            
Цеми                :::s9620282            
Сенаки              :::s9620283            
Цагвери             :::s9620284            
Ахалдаба            :::s9620285            
Гоми                :::s9620286            
Карели              :::s9620287            
Скра                :::s9620288            
Шиндиси             :::s9620290            
Гракали             :::s9620291            
Метехи              :::s9620292            
Цхалтубо            :::s9620293            
Каспи               :::s9620294            
Кавтисхеви          :::s9620295            
Дзегви              :::s9620296            
Мцхета              :::s9620297            
Загэс               :::s9620298            
Лрз                 :::s9620299            
Боржоми парк        :::s9620300            
Цинондали           :::s9620301            
Калаури             :::s9620302            
Мукузани            :::s9620303            
Гурджаани           :::s9620304            
Карданахи           :::s9620305            
Мелаани             :::s9620306            
Дедоплис-Цкаро      :::s9620307            
Магаро              :::s9620308            
Качрети             :::s9620309            
Бадиаури            :::s9620311            
Боржоми             :::s9620312            
Иори                :::s9620313            
Вазиани             :::s9620314            
Лило                :::s9620315            
Мтавари-Архи        :::s9620317            
Гачиани             :::s9620318            
Казрети             :::s9620319            
Болниси             :::s9620321            
Марнеули            :::s9620322            
Кумиси              :::s9620323            
Ланчхути            :::s9620324            
Садахло             :::s9620325            
Поничала            :::s9620326            
Вели                :::s9620328            
Агара               :::s9620329            
Гардабани           :::s9620330            
Ксани               :::s9620331            
Тезери              :::s9620333            
Барджисхеви         :::s9620334            
Гали                :::s9620335            
Цнорис-Цхали        :::s9620336            
Шулавери            :::s9620337            
Мартотубани         :::s9620338            
Зугдиди             :::s9620339            
Хашури              :::s9620341            
Ингири              :::s9620343            
Озургети            :::s9620344            
Сагареджо           :::s9620346            
Телави              :::s9620347            
Ацкури              :::s9620348            
Ахалцихе            :::s9620349            
Вале                :::s9620350            
Перса               :::s9620351            
Зикилия             :::s9620352            
2357 км             :::s9620353            
2359 км             :::s9620354            
2363 км             :::s9620355            
2373 км             :::s9620356            
Осиаури             :::s9620357            
Шиндара             :::s9620358            
8 марта             :::s9620359            
27 км               :::s9620360            
2399 км             :::s9620361            
Цниси               :::s9620362            
Суплиси             :::s9620363            
Квахврели           :::s9620364            
Базалети            :::s9620365            
Бакурцихе           :::s9620366            
79 км               :::s9620367            
Квишхети            :::s9620368            
Чумлаки             :::s9620369            
Акура               :::s9620370            
Кодор               :::s9620371            
Шио-Мгвиме          :::s9620373            
Цихис-Дзири         :::s9620374            
Зелёный мыс         :::s9620375            
Квиани              :::s9620376            
44 км               :::s9620378            
Уреки               :::s9620379            
2369 км             :::s9620380            
Бослеви             :::s9620381            
Цацхви              :::s9620382            
Кондоли             :::s9620383            
Ахашени             :::s9620384            
Чибати              :::s9620385            
Чалаубани           :::s9620386            
Урбниси             :::s9620387            
Вазисубани          :::s9620388            
Бобоквати           :::s9620389            
Лаше                :::s9620390            
Хидистави           :::s9620391            
Чандари             :::s9620392            
Самтредиа 2         :::s9620393            
Веджини             :::s9620394            
Гурия               :::s9620395            
Манави              :::s9620396            
Барцхана            :::s9620397            
Грехили-Аведжи      :::s9620398            
Киндги              :::s9620399            
Тамара              :::s9620400            
Джапана             :::s9620401            
Вардгинети          :::s9620402            
Парцханаканеби      :::s9620403            
2279 км             :::s9620404            
Уплисцихе           :::s9620405            
Хандаки             :::s9620406            
Кортанети           :::s9620407            
Леса                :::s9620408            
Тбилиси             :::s9620197            
Тбилиси-Пасс.       :::s9620198            
Тбилиси-Узловая     :::s9620199            
Тбилиси сорт        :::s9620200            
Махинджаури         :::s9620211            
Батуми-Пасс.        :::s9620244            
Батуми              :::s9620320            
Батуми-Тов.         :::s9620372            
Поти-Порт           :::s9620207            
Поти                :::s9620345            
Рустави             :::s9620204            
Рустави-Грузовая    :::s9620205            
Рустави-Пасс.       :::s9620220            
Кутаиси 1           :::s9620310            
Кутаиси             :::s9620316            
Кутаиси 2           :::s9620332            
Ддмашен             :::s9637577            
Цахкунк             :::s9637578            
Остров              :::s9637579            
Ахтамар             :::s9637580            
Цовагюх             :::s9637581            
Шоржа               :::s9637582            
Севан               :::s9621722            
Граница (2576 км)   :::s9600577            
Арабкир             :::s9621725            
Запасной код        :::s9621744            
Маралик             :::s9621745            
Кармир-Блур         :::s9621748            
Ахурян              :::s9621765            
9 км                :::s9621766            
Иджеван             :::s9621768            
Фиолетовский        :::s9621769            
Армавир             :::s9621726            
Каракерт            :::s9621718            
Даларик             :::s9621727            
Аракс               :::s9621754            
Эчмиадзин           :::s9621758            
Советакан           :::s9621764            
Айкашен             :::s9637531            
Арташар             :::s9637532            
Мргашат             :::s9637533            
Арагац              :::s9621753            
Артени              :::s9621760            
Гетап               :::s9621762            
Артик               :::s9621728            
Маисян              :::s9621729            
Джаджур             :::s9621730            
Пемзашен            :::s9621746            
Агин                :::s9621751            
Ани                 :::s9621752            
